,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
151,Brazil,2019,8/24/2019,Gremio,Athletico-PR,2,1,1,2.2,3.27,3.64,13,12,1.72254703328509,1
152,Brazil,2019,8/25/2019,Goias,Internacional,2,1,1,2.6,3.13,3.02,9,3,1.5370081300813,6
153,Brazil,2019,8/25/2019,Santos,Fortaleza,3,3,-1,1.33,5.12,10.82,18,8,3.47543287327478,10
154,Brazil,2019,8/25/2019,Vasco,Sao Paulo,2,0,1,2.98,2.97,2.76,9,7,1.4305759162303702,2
155,Brazil,2019,8/25/2019,Avai,Corinthians,1,1,-1,2.85,2.88,2.97,4,8,1.46215384615385,-4
156,Brazil,2019,8/25/2019,Ceara,Flamengo RJ,0,3,-1,3.24,3.29,2.37,15,10,1.3776148409893998,5
157,Brazil,2019,8/25/2019,CSA,Cruzeiro,1,1,-1,4.33,3.28,2.01,3,7,1.24627599243856,-4
158,Brazil,2019,8/27/2019,Botafogo RJ,Chapecoense-SC,0,0,-1,1.8,3.48,5.15,7,8,2.07670915411356,-1
159,Brazil,2019,8/31/2019,Sao Paulo,Gremio,0,0,-1,2.05,3.24,4.22,13,5,1.83281501340483,8
160,Brazil,2019,8/31/2019,Bahia,CSA,1,0,1,1.33,4.83,12.23,12,1,3.4625381008206295,11
161,Brazil,2019,8/31/2019,Athletico-PR,Ceara,1,0,1,1.44,4.47,8.24,10,4,2.8979386309992097,6
162,Brazil,2019,8/31/2019,Chapecoense-SC,Santos,0,1,-1,4.16,3.63,1.93,8,7,1.2600539568345301,1
163,Brazil,2019,9/1/2019,Internacional,Botafogo RJ,3,2,1,1.55,4.03,6.89,14,7,2.5427380952381,7
164,Brazil,2019,9/1/2019,Flamengo RJ,Palmeiras,3,0,1,2.23,3.17,3.68,22,9,1.7030072992700702,13
165,Brazil,2019,9/1/2019,Fortaleza,Goias,2,0,1,1.87,3.41,4.82,8,5,1.99710814094775,3
166,Brazil,2019,9/1/2019,Corinthians,Atletico-MG,1,0,1,2.22,2.9,4.17,9,7,1.71046676096181,2
167,Brazil,2019,9/1/2019,Cruzeiro,Vasco,1,0,1,1.78,3.53,5.24,6,5,2.1091448118586102,1
168,Brazil,2019,9/3/2019,Fluminense,Avai,0,1,-1,1.54,3.94,7.24,8,3,2.55148479427549,5
169,Brazil,2019,9/7/2019,Corinthians,Ceara,2,2,-1,1.69,3.45,6.34,10,4,2.23421859039837,6
170,Brazil,2019,9/7/2019,Vasco,Bahia,0,2,-1,2.24,3.08,3.79,11,6,1.6991557496361003,5
171,Brazil,2019,9/7/2019,Avai,Flamengo RJ,0,3,-1,8.98,4.43,1.42,5,13,1.0753162393162399,-8
172,Brazil,2019,9/7/2019,Fortaleza,Fluminense,0,1,-1,2.28,3.24,3.47,10,11,1.6755290611028302,-1
173,Brazil,2019,9/7/2019,Internacional,Sao Paulo,1,0,1,2.55,3.02,3.22,17,7,1.55839743589744,10
174,Brazil,2019,9/8/2019,Goias,Palmeiras,1,2,-1,5.91,3.56,1.7,11,9,1.15057034220532,2
175,Brazil,2019,9/8/2019,Cruzeiro,Gremio,1,4,-1,2.66,3.0,3.08,7,5,1.51973684210526,2
176,Brazil,2019,9/8/2019,Botafogo RJ,Atletico-MG,2,1,1,3.38,3.44,2.23,7,7,1.35294532627866,0
177,Brazil,2019,9/8/2019,Santos,Athletico-PR,1,1,-1,1.5,4.39,6.95,21,13,2.6905202821869505,8
178,Brazil,2019,9/8/2019,CSA,Chapecoense-SC,2,0,1,2.59,2.98,3.2,4,8,1.54304207119741,-4
179,Brazil,2019,9/11/2019,Palmeiras,Fluminense,3,0,1,1.32,5.11,11.4,15,12,3.52840702604482,3
180,Brazil,2019,9/14/2019,Flamengo RJ,Santos,1,0,1,1.58,4.04,6.25,25,8,2.4538386783284705,17
181,Brazil,2019,9/14/2019,Chapecoense-SC,Vasco,1,2,-1,2.83,2.97,2.9,8,5,1.46729131175468,3
182,Brazil,2019,9/14/2019,Palmeiras,Cruzeiro,1,0,1,1.31,5.48,10.55,18,8,3.6066126013724302,10
