Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,
D1,15/03/2019,5,13,1,1,D,1.53,3.9,6.25,225,225,2.38982793522267,
D1,16/03/2019,8,11,3,1,H,1.61,4.33,5,226,226,2.38381687242798,
D1,16/03/2019,14,1,2,3,A,4.2,3.75,1.85,227,227,1.32900696864111,
D1,16/03/2019,6,4,0,1,A,3.75,3.6,2,228,228,1.29523978685613,
D1,16/03/2019,16,9,1,1,D,3.7,4,1.85,229,229,1.30251256281407,
D1,16/03/2019,3,15,5,2,H,1.75,3.75,4.75,230,230,1.98555,
D1,17/03/2019,0,7,6,0,H,1.12,9,17,231,231,6.9751186053158,
D1,17/03/2019,12,17,1,0,H,1.4,5,7.5,232,232,3.47049626104691,
D1,17/03/2019,2,10,1,3,A,1.6,4.2,5.25,233,233,2.48430830039526,
D1,29/03/2019,9,2,4,1,H,2.37,3.8,2.7,234,234,1.6727761627907,
D1,30/03/2019,1,3,2,0,H,1.5,4.33,6.5,235,235,2.76223076923077,
D1,30/03/2019,15,5,3,1,H,3,3.5,2.3,236,236,1.30795847750865,
D1,30/03/2019,13,0,1,1,D,12,6.5,1.22,237,237,1.04530516431925,
D1,30/03/2019,17,8,3,0,H,2.87,3.3,2.5,238,238,1.40853195164076,
D1,30/03/2019,4,14,5,0,H,1.5,4.33,6.5,239,239,2.47568816169394,
D1,30/03/2019,10,7,3,1,H,1.61,4.33,5,240,240,2.37336766220391,
D1,31/03/2019,12,16,3,0,H,1.44,5,6.5,241,241,2.67764116575592,
D1,31/03/2019,11,6,0,1,A,4.5,3.6,1.8,242,242,1.26202486678508,
D1,05/04/2019,7,13,5,0,H,2.2,3.3,3.4,243,243,1.77464788732394,
D1,06/04/2019,0,1,5,0,H,1.53,4.75,5.25,244,244,2.964,
D1,06/04/2019,14,15,1,2,A,1.9,3.6,4,245,245,1.91747066492829,
D1,06/04/2019,2,4,2,4,A,2.3,3.75,2.9,246,246,1.57563182527301,
D1,06/04/2019,6,12,1,2,A,3.3,3.5,2.15,247,247,1.39365646258503,
D1,06/04/2019,16,17,1,1,D,1.8,3.75,4.5,248,248,2.12363109048724,
D1,06/04/2019,3,11,3,1,H,1.33,5.5,8.5,249,249,2.90205980066445,
D1,07/04/2019,8,9,0,4,A,3.6,4.33,1.83,250,250,1.28139837398374,
D1,07/04/2019,5,10,1,1,D,2.05,3.6,3.4,251,251,1.87966755319149,
D1,12/04/2019,17,6,1,1,D,3.4,3.25,2.25,252,252,1.36235500878735,
D1,13/04/2019,1,7,2,1,H,1.3,5.75,9.5,253,253,3.93209934949734,
D1,13/04/2019,11,5,0,1,A,5.25,4.33,1.6,254,254,1.16474683544304,
D1,13/04/2019,4,3,2,0,H,1.57,4.2,5.75,255,255,2.77212543554007,
D1,13/04/2019,16,2,0,1,A,4.2,4.2,1.75,256,256,1.25846801346801,
D1,13/04/2019,10,13,2,1,H,1.6,4,5.75,257,257,2.37747692307692,
D1,14/04/2019,12,8,1,3,A,1.45,4.5,6.5,258,258,2.87287751677852,
D1,14/04/2019,15,0,1,4,A,12,7.5,1.18,259,259,1.025,
D1,14/04/2019,9,14,2,0,H,1.4,5,6.5,260,260,3.69269102990033,
D1,20/04/2019,8,16,6,0,H,2.05,3.5,3.6,261,261,1.62833078101072,
D1,20/04/2019,0,10,1,0,H,1.14,8,19,262,262,6.5155,
D1,20/04/2019,2,17,2,0,H,1.3,5.75,9.5,263,263,3.97589327146172,
D1,20/04/2019,7,15,3,1,H,2.1,3.6,3.4,264,264,1.88661375661376,
D1,20/04/2019,5,4,1,2,A,3,3.75,2.25,265,265,1.44950495049505,
D1,20/04/2019,6,9,2,5,A,3.6,4,1.9,266,266,1.35155258764608,
D1,21/04/2019,13,1,0,4,A,6,4.33,1.53,267,267,1.14202194357367,
D1,21/04/2019,14,11,0,0,D,1.53,4.33,6,268,268,2.29684665226782,
D1,22/04/2019,3,12,1,1,D,2.55,3.6,2.55,269,269,1.45141924959217,
D1,26/04/2019,8,2,1,4,A,4.5,4.33,1.66,270,270,1.21239130434783,
D1,27/04/2019,1,6,2,4,A,1.3,5.5,9,271,271,2.8071343537415,
D1,27/04/2019,12,14,0,0,D,1.4,4.75,7,272,272,3.18755690440061,
D1,27/04/2019,15,10,4,1,H,3.2,3.4,2.2,273,273,1.44529411764706,
D1,27/04/2019,11,7,1,0,H,3,3.4,2.3,274,274,1.42217821782178,
D1,27/04/2019,4,13,2,1,H,1.25,5.5,12,275,275,3.95046538024972,
D1,27/04/2019,16,5,1,0,H,3.5,3.5,2.05,276,276,1.33154237288136,
D1,28/04/2019,9,3,1,4,A,1.45,4.75,6,277,277,2.92173839662447,
D1,28/04/2019,17,0,1,1,D,15,8,1.14,278,278,1.01527403414196,
D1,03/05/2019,7,4,3,3,D,4.5,4.2,1.7,279,279,1.21672240802676,
D1,04/05/2019,0,11,3,1,H,1.03,21,34,280,280,#DIV/0 !,
D1,04/05/2019,14,16,3,1,H,2.2,3.6,3.1,281,281,1.69721815519766,
D1,04/05/2019,5,9,2,2,D,2.7,4,2.3,282,282,1.68628612716763,
D1,04/05/2019,10,1,2,2,D,3.25,3.75,2.05,283,283,1.30152243589744,
D1,04/05/2019,3,17,2,0,H,1.57,4.33,5.5,284,284,2.4041726618705,
D1,05/05/2019,13,15,1,1,D,2.1,3.75,3.2,285,285,1.70099125364432,
D1,05/05/2019,2,12,6,1,H,1.61,4.5,5,286,286,2.26075824175824,
D1,05/05/2019,6,8,0,0,D,1.8,3.8,4.33,287,287,2.31098831030818,
D1,11/05/2019,8,14,3,4,A,2.4,3.6,2.8,288,288,1.57489953632148,
D1,11/05/2019,1,15,3,2,H,1.3,6,8.5,289,289,3.27988032909499,
D1,11/05/2019,11,13,3,0,H,2.62,3.75,2.5,290,290,1.41261231281198,
D1,11/05/2019,9,10,0,1,A,1.44,5.25,6,291,291,3.02783606557377,
D1,11/05/2019,2,6,1,1,D,1.33,5.75,8,292,292,3.28225806451613,
D1,11/05/2019,17,5,0,4,A,3.8,4,1.85,293,293,1.25687188019967,
