Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
E0,29/01/2019,Arsenal,Cardiff,2,1,H,1.22,7,15,42,13,4.77272727272727,29
E0,29/01/2019,Fulham,Brighton,4,2,H,2.37,3.3,3.3,22,16,1.65,6
E0,29/01/2019,Huddersfield,Everton,0,1,A,4,3.3,2.1,10,24,1.28333333333333,-14
E0,29/01/2019,Man United,Burnley,2,2,D,1.28,6,12,33,21,4,12
E0,29/01/2019,Newcastle,Man City,2,1,H,19,8,1.18,24,38,1.02832244008715,-14
E0,29/01/2019,Wolves,West Ham,3,0,H,2.1,3.5,3.75,28,20,1.81034482758621,8
E0,30/01/2019,Bournemouth,Chelsea,4,0,H,5.25,4.2,1.66,30,24,1.18976109215017,6
E0,30/01/2019,Liverpool,Leicester,1,1,D,1.22,7,15,55,27,4.77272727272727,28
E0,30/01/2019,Southampton,Crystal Palace,1,1,D,2.4,3.4,3.2,27,32,1.64848484848485,-5
E0,30/01/2019,Tottenham,Watford,2,1,H,1.66,4,5.75,34,26,2.35897435897436,8
E0,02/02/2019,Brighton,Watford,0,0,D,2.55,3.3,3,19,26,1.57142857142857,-7
E0,02/02/2019,Burnley,Southampton,1,1,D,2.55,3.5,2.87,24,18,1.57692307692308,6
E0,02/02/2019,Cardiff,Bournemouth,2,0,H,3.25,3.5,2.3,21,26,1.38793103448276,-5
E0,02/02/2019,Chelsea,Huddersfield,5,0,H,1.2,7.5,19,39,12,5.37735849056604,27
E0,02/02/2019,Crystal Palace,Fulham,2,0,H,2.05,3.5,4,19,12,1.86666666666667,7
E0,02/02/2019,Everton,Wolves,1,3,A,2.37,3.4,3.25,30,19,1.66165413533835,11
E0,02/02/2019,Tottenham,Newcastle,1,0,H,1.44,4.5,9,34,18,3,16
E0,03/02/2019,Leicester,Man United,0,1,A,3.6,3.5,2.15,24,32,1.33185840707965,-8
E0,03/02/2019,Man City,Arsenal,3,1,H,1.33,6,9,57,31,3.6,26
E0,04/02/2019,West Ham,Liverpool,1,1,D,8,5.25,1.4,32,34,1.10526315789474,-2
E0,06/02/2019,Everton,Man City,0,2,A,10,6.25,1.3,30,38,1.07615894039735,-8
E0,09/02/2019,Brighton,Burnley,1,3,A,2.05,3.3,4.2,19,21,1.848,-2
E0,09/02/2019,Crystal Palace,West Ham,1,1,D,2.1,3.5,3.75,19,20,1.81034482758621,-1
E0,09/02/2019,Fulham,Man United,0,3,A,5.5,4.4,1.61,22,32,1.17870216306156,-10
E0,09/02/2019,Huddersfield,Arsenal,1,2,A,5.75,4.4,1.6,10,31,1.17333333333333,-21
E0,09/02/2019,Liverpool,Bournemouth,3,0,H,1.22,7.5,14,55,26,4.88372093023256,29
E0,09/02/2019,Southampton,Cardiff,1,2,A,1.75,3.9,5,27,13,2.19101123595506,14
E0,09/02/2019,Watford,Everton,1,0,H,2.35,3.5,3.2,26,24,1.67164179104478,2
E0,10/02/2019,Man City,Chelsea,6,0,H,1.5,4.75,7,57,24,2.82978723404255,33
E0,10/02/2019,Tottenham,Leicester,3,1,H,1.7,3.9,5.5,34,27,2.28191489361702,7
E0,11/02/2019,Wolves,Newcastle,1,1,D,1.7,3.75,5.75,28,18,2.26973684210526,10
E0,22/02/2019,Cardiff,Watford,1,5,A,3.1,3.4,2.45,21,26,1.42393162393162,-5
E0,22/02/2019,West Ham,Fulham,3,1,H,1.95,3.8,4,32,12,1.94871794871795,20
E0,23/02/2019,Bournemouth,Wolves,1,1,D,2.87,3.4,2.62,30,19,1.4797342192691,11
E0,23/02/2019,Burnley,Tottenham,2,1,H,5.75,3.8,1.7,24,33,1.17454545454545,-9
