,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
243,F1,17/02/2019,Caen,Strasbourg,0,0,D,3.5,3.1,2.3,11,21,1.32037037037037,-10
244,F1,17/02/2019,Lille,Montpellier,0,0,D,1.85,3.3,4.75,25,13,1.9472049689441,12
245,F1,17/02/2019,Reims,Rennes,2,0,H,2.5,3.1,3.1,12,17,1.55,-5
246,F1,17/02/2019,St Etienne,Paris SG,0,1,A,5.25,4.33,1.6,24,26,1.16829679595278,-2
247,F1,20/02/2019,Bordeaux,Guingamp,0,0,D,1.9,3.4,4.33,18,7,1.90452781371281,11
248,F1,20/02/2019,Paris SG,Montpellier,5,1,H,1.25,6,12,42,13,4,29
249,F1,22/02/2019,Dijon,St Etienne,0,1,A,3.5,3.3,2.15,10,11,1.30183486238532,-1
250,F1,22/02/2019,Strasbourg,Lille,1,1,D,2.75,3.1,2.7,19,17,1.44310344827586,2
251,F1,23/02/2019,Amiens,Nice,1,0,H,2.7,2.9,3,13,9,1.47457627118644,4
252,F1,23/02/2019,Guingamp,Angers,1,0,H,2.5,3.2,3,10,13,1.54838709677419,-3
253,F1,23/02/2019,Paris SG,Nimes,3,0,H,1.25,6.5,11,47,19,4.08571428571429,28
254,F1,24/02/2019,Monaco,Lyon,2,0,H,3.4,3.5,2.1,12,19,1.3125,-7
255,F1,24/02/2019,Montpellier,Reims,2,4,A,2.2,3.2,3.5,18,9,1.67164179104478,9
