Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC
SP1,16/02/2019,0,15,1,0,H,1.14,9,15,,,5.625
SP1,16/02/2019,16,14,1,4,A,1.8,3.8,4.5,,,2.06024096385542
SP1,16/02/2019,8,12,3,0,H,2.05,3.1,4.2,,,1.78356164383562
SP1,16/02/2019,17,2,0,1,A,6,3.5,1.65,,,1.12135922330097
SP1,17/02/2019,9,10,1,1,D,1.72,3.5,5.25,,,2.1
SP1,17/02/2019,1,18,1,2,A,1.16,8,15,,,5.21739130434783
SP1,17/02/2019,3,6,0,0,D,1.72,3.7,4.8,,,2.08941176470588
SP1,17/02/2019,13,5,3,0,H,2.5,3.4,2.8,,,1.53548387096774
SP1,18/02/2019,19,7,0,1,A,3.1,3.1,2.5,,,1.38392857142857
SP1,22/02/2019,6,19,1,1,D,1.72,3.6,5,,,2.09302325581395
SP1,23/02/2019,10,16,0,0,D,2.3,3.3,3.2,,,1.62461538461538
SP1,23/02/2019,7,11,1,0,H,2.1,3.25,3.8,,,1.75177304964539
SP1,23/02/2019,4,17,2,1,H,1.7,3.6,5.5,,,2.17582417582418
SP1,23/02/2019,5,0,2,4,A,3.5,4,1.95,,,1.3109243697479
SP1,24/02/2019,2,13,2,0,H,1.57,3.75,7,,,2.44186046511628
SP1,24/02/2019,12,3,1,1,D,2.8,3.1,2.7,,,1.44310344827586
SP1,24/02/2019,14,1,1,2,A,5.25,4.75,1.53,,,1.15724522292994
SP1,24/02/2019,15,9,0,2,A,2.7,3.2,2.75,,,1.47899159663866
SP1,25/02/2019,18,8,0,0,D,2.37,3.2,3,,,1.54838709677419
SP1,01/03/2019,17,18,0,2,A,2.25,3.4,3.2,,,1.64848484848485
SP1,02/03/2019,6,15,3,1,H,1.8,3.6,4.75,,,2.04790419161677
SP1,02/03/2019,19,5,2,1,H,3.8,3.6,1.95,,,1.26486486486486
SP1,02/03/2019,1,0,0,1,A,2.75,3.7,2.45,,,1.4739837398374
SP1,02/03/2019,13,10,1,2,A,1.66,3.75,5.5,,,2.22972972972973
SP1,03/03/2019,9,4,1,2,A,2.3,3,3.4,,,1.59375
SP1,03/03/2019,11,16,1,0,H,1.72,3.8,4.75,,,2.11111111111111
SP1,03/03/2019,8,2,0,2,A,4,3.25,2.05,,,1.25707547169811
SP1,03/03/2019,3,7,2,0,H,2,3.3,4,,,1.80821917808219
SP1,04/03/2019,12,14,1,0,H,1.95,3.4,4.2,,,1.87894736842105
SP1,08/03/2019,7,6,1,1,D,1.66,3.6,6,,,2.25
SP1,09/03/2019,10,11,1,1,D,2.9,3.2,2.55,,,1.41913043478261
SP1,09/03/2019,2,12,1,0,H,1.45,4.2,10,,,2.95774647887324
SP1,09/03/2019,0,17,3,1,H,1.16,8,15,,,5.21739130434783
SP1,09/03/2019,4,19,2,1,H,1.61,3.6,6.5,,,2.31683168316832
SP1,10/03/2019,16,9,0,1,A,2.5,3.3,2.9,,,1.54354838709677
SP1,10/03/2019,18,3,2,3,A,3.3,3.2,2.35,,,1.35495495495495
